Location,Violence in Life Time,Attitude towards Violence
AFG,60.8,80.2
AGO,34.8,25.2
ALB,24.6,29.8
ARM,8.2,10.1
AUS,16.9,3.2
AUT,13,3
AZE,13.5,28
BDI,46.7,72.9
BEL,24,2
BEN,68.6,36
BFA,11.5,43.5
BGD,53.3,28.3
BGR,23,18.2
BIH,13.1,4.8
BLR,25,4.1
BOL,64.1,16.1
BRA,33.5,8.5
BTN,26.5,68.4
CAF,29.8,79.6
CAN,1.9,7.8
CHE,9.8,15.2
CHL,6.7,10.3
CIV,25.9,47.9
CMR,51.1,36.1
COD,50.7,74.8
COL,37.4,11.1
CRI,36,3.5
CYP,15,10.5
CZE,21,2
DEU,22,19.6
DNK,32,0
DOM,20.4,2
ECU,37.5,25.2
ESP,13,9.6
EST,20,16.9
ETH,28,63
FIN,30,11.2
FJI,64.1,42.6
FRA,26,6.6
GAB,48.6,50.2
GBR,29,10.2
GEO,6.1,8.6
GHA,24.4,28.3
GIN,80,92.1
GMB,20.1,58.4
GNQ,56.9,52.6
GRC,19,2
GTM,18,11
HKG,9.4,26
HND,21.6,12.4
HRV,13,4.4
HTI,20.8,58.9
HUN,21,8.7
IDN,18.3,34.5
IND,28.7,22.1
IRL,15,1
IRN,66,21
IRQ,21.2,54.8
ITA,19,5.3
JAM,19.7,4.9
JOR,23.6,18
JPN,15.4,8.9
KAZ,16.5,14.2
KEN,39.4,41.8
KGZ,25.4,32.8
KHM,20.9,50.4
KOR,16.5,18.4
LAO,15.3,58.2
LBN,10.4,43.6
LBR,38.5,42.5
LKA,16.6,53.2
LSO,62,37.1
LTU,24,2
LUX,22,2
LVA,32,2
MAR,30,22
MDA,45.5,11.2
MDG,30,45.2
MEX,14.1,5
MKD,27.7,14.5
MLI,34.6,72.6
MLT,15,0
MMR,33,51.2
MNG,31.2,10.1
MOZ,21.7,22.9
MWI,37.5,16.3
NAM,25,28.2
NGA,16.2,34.7
NIC,22.5,13.7
NLD,25,6.4
NOR,27,9.9
NPL,25,42.9
NZL,35,7.7
PAK,85,42.2
PER,33.2,32.2
PHL,16.9,12.9
POL,13,7.9
PRT,19,2
PRY,17.9,22.9
ROU,24,7.5
RUS,19.6,23.3
RWA,34.4,41.4
SEN,78,56.5
SGP,6.1,40.5
SLE,45.3,62.8
SLV,26.3,7.7
SRB,23.7,3.8
SVK,23,5
SVN,13,15.8
SWE,28,10.2
TCD,28.6,73.5
TGO,22.1,28.7
THA,44.2,8.6
TJK,20.3,59.6
TLS,58.8,86.2
TTO,30.2,9.9
TUN,20.3,18.6
TUR,38,13.3
TZA,41.7,58
UGA,49.9,58.3
UKR,13.2,2.9
URY,14.8,1.5
USA,35.6,11
VNM,34.4,28.2
YEM,67,48.7
ZAF,20.6,61.2
ZMB,42.7,46.9
ZWE,35.4,38.7